num_lectures,price,days_since_published,content_duration
31,20,2195,1.5
20,45,2170,1.5
33,0,1731,1.5
11,20,2164,0.7166666666666667
17,25,2697,1.0
34,200,1774,5.5
41,60,1599,1.5
37,40,2051,4.5
48,20,2682,1.0
20,20,1935,1.5
9,0,2006,1.0
63,40,1882,6.5
5,50,1736,1.5
47,195,1914,5.0
16,20,1949,2.0
123,30,1638,16.5
25,30,2415,4.0
42,50,1680,3.0
54,200,1881,3.5
80,45,2442,6.5
9,20,2333,1.0
79,25,2345,5.5
9,45,2188,0.7166666666666667
120,120,1546,9.0
24,0,1975,3.5
39,45,2310,3.0
60,150,1766,9.0
23,55,1626,2.5
29,20,1925,2.0
72,50,1680,8.0
9,0,1537,1.0
10,20,2349,2.0
11,25,2436,1.5
10,0,1652,1.0
48,200,1686,6.0
21,0,1816,1.5
7,200,1630,1.0
33,135,2136,2.5
10,30,2579,1.0
38,20,3134,2.0
65,50,2981,3.0
23,20,2523,2.0
13,30,1736,1.5
23,120,2178,1.0
12,50,1586,1.0
26,0,1700,3.0
15,20,2199,1.5
42,200,1602,7.0
12,95,2134,0.5333333333333333
7,100,1541,1.5
19,55,1729,1.5
458,40,2246,22.5
24,0,1696,2.0
34,50,2843,3.5
7,20,2901,2.5
17,20,2351,0.7333333333333333
35,50,2964,11.5
9,50,1540,2.0
52,200,2229,4.0
13,95,1942,0.6333333333333333
20,80,1632,3.5
50,50,1997,6.0
43,30,1722,9.0
107,50,2346,8.5
18,200,1676,1.5
57,150,2150,5.0
11,0,1599,2.0
27,30,1653,1.5
34,20,2193,5.0
19,20,1567,1.0
14,60,3132,3.0
133,100,1716,9.5
102,50,2394,10.0
40,20,1854,3.5
16,200,1676,2.0
123,200,2011,5.5
15,40,2720,2.0
36,100,1745,1.0
18,175,1631,2.5
17,20,2463,1.0
27,20,1667,3.0
25,0,2586,2.0
52,140,2173,5.0
47,20,2263,5.5
21,200,2316,2.0
82,20,3252,2.5
140,150,1802,15.5
21,20,1846,1.5
18,125,2152,1.5
14,20,1945,1.0
36,75,2247,1.5
30,20,2058,4.5
25,20,1610,2.0
40,50,2258,2.0
124,200,1585,11.5
13,200,2164,1.0
20,0,1829,2.0
23,125,2383,2.0
42,50,2745,7.5
42,200,2484,4.5
15,25,2541,3.5
30,40,1982,3.5
52,30,2218,5.5
21,25,2408,1.5
15,20,2074,1.5
108,140,1669,10.0
11,200,1843,0.5666666666666667
13,20,2038,0.5166666666666666
21,20,2256,4.0
283,195,2155,31.5
26,20,1543,1.0
23,50,2689,3.5
81,150,2254,2.5
18,25,2201,2.0
15,80,1606,1.0
120,50,2455,13.5
5,95,1534,1.0
24,50,1919,2.5
9,20,2586,1.0
55,95,3299,6.0
8,0,2540,1.0
29,40,1879,4.0
50,95,2318,2.0
14,0,1914,1.5
34,90,2218,3.5
14,50,2444,0.7166666666666667
160,150,1903,25.0
18,30,2162,1.5
31,20,2340,0.6666666666666666
138,100,2253,14.5
28,85,2473,3.0
18,50,2649,2.0
11,20,2469,2.0
17,95,2225,1.5
12,25,2150,1.0
20,0,1606,4.0
22,200,1568,2.0
27,75,2964,2.5
19,30,2407,1.0
21,0,1599,2.0
15,20,2431,3.0
13,30,2414,1.0
39,65,2020,3.5
5,0,1926,0.6833333333333333
7,30,1760,1.0
22,50,2047,1.5
113,195,1798,17.5
7,0,1563,1.0
35,40,1800,4.0
76,200,1752,3.5
56,45,1599,10.0
18,150,2038,1.5
31,145,2233,3.0
7,35,1942,0.5833333333333334
25,45,3048,2.0
8,40,2153,0.7166666666666667
25,40,1890,1.0
28,125,2710,5.0
15,40,2185,1.5
15,95,1659,0.5333333333333333
19,195,2281,2.5
27,45,2269,3.5
33,200,2108,2.0
38,20,2057,2.5
32,50,1987,5.5
62,150,1697,11.0
30,0,1807,2.0
7,30,2172,0.6166666666666667
25,50,1631,3.5
24,20,2341,2.0
145,50,2736,7.5
11,20,1630,1.0
7,25,1761,0.5833333333333334
150,90,1605,3.5
8,30,1815,0.6333333333333333
12,20,1666,1.0
75,50,1975,4.5
13,20,2230,2.0
6,50,1536,2.0
73,30,1683,5.5
21,125,1558,1.5
35,40,2038,3.0
51,195,2278,4.5
19,30,2052,1.5
17,20,1972,0.7166666666666667
10,20,2551,1.0
79,95,2170,3.0
13,25,2906,1.5
8,0,1751,0.55
14,150,2003,0.55
15,200,1854,1.0
12,200,1773,0.5333333333333333
26,195,1921,1.0
18,50,1754,2.0
15,200,1578,1.0
22,30,2044,2.0
38,20,2005,2.0
19,20,2356,2.0
23,50,1827,1.5
38,50,2012,4.0
6,0,2267,0.6166666666666667
28,20,1920,1.5
59,95,1720,5.0
6,20,1962,1.0
77,145,2913,8.0
29,125,1731,3.0
25,95,1989,0.6666666666666666
26,50,1995,1.0
62,195,2118,7.5
26,40,1816,4.0
59,55,1644,3.5
18,100,1551,1.0
527,190,2460,71.5
8,20,2249,1.0
35,20,2100,2.5
14,100,1864,1.0
19,40,1982,2.0
64,20,1660,3.0
15,20,2235,1.0
6,40,1540,0.5333333333333333
74,50,1681,9.5
6,0,2124,0.7333333333333333
16,40,1824,1.0
38,95,3097,5.5
77,95,2519,3.0
6,20,2110,0.4666666666666667
77,50,1771,1.5
66,195,1816,11.0
23,95,1962,1.5
9,30,1800,1.0
52,140,1748,2.5
14,20,2465,1.0
21,35,1988,0.7166666666666667
77,195,1682,5.5
13,0,2779,3.0
62,25,1997,4.5
76,200,2320,6.0
6,20,2145,1.0
23,40,1982,3.5
22,25,2766,1.0
15,100,1854,1.5
18,40,1905,1.5
27,175,1535,1.0
12,20,1598,1.0
19,25,2069,1.0
13,70,1546,1.5
19,0,1661,2.0
6,0,2854,1.5
18,95,1586,2.5
13,0,1948,1.5
25,20,1974,2.0
13,40,1607,1.0
37,45,1847,3.0
6,200,1546,0.5666666666666667
45,0,2482,4.5
25,115,1780,2.5
59,100,1879,5.0
60,90,2516,5.5
28,150,2053,2.0
12,150,1631,1.0
11,20,2892,1.0
30,40,2137,1.0
171,200,1707,13.0
20,20,2118,2.0
31,40,2163,5.0
9,20,2384,1.0
12,20,2034,1.0
18,20,1542,1.0
93,50,2180,12.0
43,35,2379,5.0
17,100,2975,1.0
353,200,1599,42.0
44,150,2108,5.0
12,0,2782,2.5
20,0,2008,1.0
106,50,2346,6.0
28,95,1980,1.0
24,75,1550,1.5
20,60,3135,3.0
60,25,2148,6.5
24,45,1875,4.5
25,20,1939,3.0
106,80,1666,5.0
82,165,2331,6.5
9,40,2348,1.0
10,40,1982,2.5
60,200,1961,4.0
53,100,2135,4.0
22,40,1886,1.5
20,50,2346,2.0
40,120,2130,5.5
18,65,2061,2.0
5,20,1599,0.6833333333333333
16,25,2909,1.5
24,75,3178,4.0
10,45,1671,1.0
32,75,1668,0.6166666666666667
90,20,2038,5.0
25,0,2053,4.0
5,50,2421,1.0
21,50,2746,4.0
35,25,2407,2.5
32,20,2239,3.5
9,20,2680,0.7166666666666667
27,50,1988,3.5
18,195,1785,1.0
5,0,2647,2.0
18,0,2715,1.0
57,150,1682,3.0
19,95,2053,2.5
18,20,2689,1.5
31,200,2227,1.5
41,95,1572,2.5
37,50,2281,5.5
38,100,2077,3.0
5,20,1969,0.6833333333333333
102,200,1914,8.5
9,0,1974,1.5
6,0,2414,1.0
37,40,1694,4.0
85,175,2380,11.5
21,50,1864,1.0
16,30,2985,1.0
22,50,2453,4.0
27,25,1613,1.0
22,20,2253,3.5
37,50,2242,6.0
12,0,2712,2.5
23,200,1539,1.5
18,40,2283,1.0
8,20,2726,2.0
26,50,2203,5.5
14,25,2384,1.5
7,20,2050,0.5166666666666666
91,95,1894,7.5
19,40,2402,1.5
26,0,3032,4.0
129,145,2438,18.5
46,35,1611,3.0
18,45,3045,1.0
20,50,1761,5.0
5,95,2283,1.0
47,30,1880,4.5
18,20,2859,1.5
18,95,1743,3.5
5,20,3087,1.0
15,0,2009,1.0
20,0,2044,1.0
37,140,1542,3.0
45,195,1820,4.5
14,20,1692,3.5
50,0,2373,6.0
8,200,1903,1.5
10,45,1670,1.0
66,200,1653,20.5
12,0,1846,1.0
6,20,1646,1.5
19,50,1875,0.6166666666666667
47,150,2235,3.0
74,195,1640,14.5
41,50,2269,1.5
14,195,2114,1.0
14,65,1536,2.0
52,100,1865,6.0
41,30,1597,8.5
72,50,2228,7.0
23,50,1728,1.5
42,30,1805,7.5
36,20,2554,3.0
54,200,1702,1.5
27,150,1919,1.5
15,25,2637,1.0
58,100,2551,9.0
27,45,2041,2.0
49,55,1715,2.5
12,25,1745,1.5
27,125,1729,3.5
28,50,1606,4.5
63,50,2346,5.0
30,195,1571,3.5
124,20,1899,13.5
64,195,1624,12.5
10,20,1729,0.5333333333333333
80,75,2881,4.0
23,30,3068,3.0
48,200,2284,7.5
56,20,2422,5.0
16,75,1997,1.0
8,40,1815,0.6166666666666667
123,50,1785,14.5
5,30,1615,1.0
6,50,2064,0.6333333333333333
37,100,1986,2.0
45,75,1599,4.5
6,20,1993,1.0
11,40,1982,2.5
10,30,2268,1.5
19,50,2691,3.0
11,20,1984,1.0
81,95,1882,5.5
11,20,3002,1.5
72,200,1539,5.5
24,65,2472,2.5
36,35,2146,2.0
34,0,2616,0.6166666666666667
13,50,2964,5.5
43,30,1921,4.5
13,20,2583,1.5
27,30,2163,1.5
28,20,1994,3.0
12,195,2099,2.5
19,200,1679,1.5
7,35,1763,1.0
8,200,1686,1.0
22,200,2424,2.0
29,130,1599,1.5
36,95,1799,2.0
8,50,2249,1.0
5,20,1781,0.6166666666666667
15,0,2023,1.5
13,20,1634,3.0
20,25,2443,1.5
29,25,1539,6.0
19,20,2058,3.5
14,35,2256,1.0
53,95,2059,2.0
11,20,1967,0.5666666666666667
22,20,2326,2.0
21,200,1612,2.0
23,70,2411,3.5
80,45,1760,7.5
25,50,3128,1.5
20,95,1652,1.0
9,100,2012,0.6666666666666666
227,200,2516,16.0
43,150,2156,3.0
86,40,1954,8.0
9,200,1783,1.5
8,25,1687,1.0
126,40,1850,15.0
52,200,2124,3.5
35,40,1537,5.5
30,20,1906,1.0
11,20,1637,2.0
44,20,2260,6.5
13,35,2407,1.5
27,20,1634,4.5
11,20,1619,1.5
24,25,2193,1.0
29,35,1613,2.5
10,20,1697,0.6333333333333333
7,0,2221,0.5333333333333333
59,75,2607,2.5
161,195,2888,26.0
214,145,1723,15.5
7,50,2439,2.0
73,20,2131,6.5
36,140,1740,2.5
5,20,2774,1.0
31,50,2741,4.0
136,50,1899,8.0
35,200,2903,2.5
40,25,1914,4.0
13,20,1615,1.0
16,0,1967,2.0
60,75,1896,10.0
25,0,2176,1.0
21,30,2382,1.0
66,65,1548,6.5
14,20,2060,1.0
16,20,2306,1.5
44,200,2478,1.5
34,20,2431,2.0
34,40,2156,5.5
20,20,1952,1.5
28,20,2050,2.0
12,20,1597,1.0
27,25,2047,4.5
27,45,2473,5.0
26,50,2054,2.0
123,75,2207,11.5
26,20,2701,4.0
38,30,1606,3.5
12,60,1612,1.0
22,20,2250,2.0
45,20,1989,6.0
58,100,1550,5.0
17,40,1906,1.5
15,0,1961,3.5
38,50,2542,4.0
7,35,1815,0.5333333333333333
10,20,2159,0.65
54,50,2811,6.0
33,195,1996,5.0
21,20,2284,2.5
80,30,2025,9.5
12,20,2361,0.6333333333333333
38,50,1862,3.0
50,125,2477,7.0
27,75,1889,1.5
30,0,1661,1.5
59,150,2127,4.5
15,35,2040,1.5
13,70,1540,2.0
37,50,1907,6.5
34,60,1598,1.0
27,50,1771,1.5
57,195,2228,4.5
63,200,1925,5.0
32,115,1638,1.5
11,60,1809,1.0
47,20,1683,2.5
6,0,1549,0.6666666666666666
10,0,1731,1.0
12,20,2586,1.5
46,50,2024,3.5
22,0,1984,1.0
14,0,1652,0.7
6,50,1663,0.5333333333333333
63,100,2129,2.5
8,20,1976,1.0
119,200,1605,10.0
54,80,3270,10.0
9,0,1929,1.0
31,45,2474,2.5
23,20,2471,6.5
31,125,1666,3.5
13,0,1738,0.5666666666666667
13,120,3125,3.0
21,20,2263,1.5
22,50,1575,4.0
30,35,2180,4.0
42,35,2316,2.0
151,25,2509,2.5
21,195,2057,2.0
45,95,2250,3.5
29,150,1536,2.0
15,55,2519,3.5
17,35,1633,4.0
24,0,1554,1.0
9,30,1557,1.0
38,20,2424,3.0
49,105,1613,3.5
20,20,2256,1.5
49,95,1974,6.5
33,25,2518,3.5
28,20,1627,6.5
17,50,2052,1.5
53,100,1633,3.5
69,20,1994,1.5
20,90,1852,2.0
79,60,2026,9.0
39,150,1970,3.0
97,100,1648,13.5
19,125,2649,2.5
102,50,2193,15.5
38,195,1816,3.5
8,20,2363,0.5166666666666666
38,20,2240,3.0
9,20,2179,1.0
11,35,1757,1.5
76,100,2232,6.0
19,195,1647,1.0
286,200,2406,30.5
27,20,2851,3.0
460,180,2476,43.5
131,20,2528,11.0
24,95,2348,2.5
24,120,1589,1.5
39,195,2136,2.5
78,30,2110,7.5
41,25,2062,2.5
18,40,1554,0.7166666666666667
49,65,1639,4.0
19,195,2611,2.0
72,150,1536,6.5
15,40,2125,1.5
25,0,2405,2.0
19,200,1928,3.0
38,0,2310,3.0
26,20,2376,2.0
22,50,2977,12.5
56,200,1541,3.0
29,20,2654,1.5
60,60,2037,11.0
142,195,2760,24.5
15,0,1533,1.5
24,20,1886,1.5
49,100,2047,5.5
10,50,1919,1.0
22,75,2043,1.5
27,40,2458,1.5
32,0,2025,4.5
9,60,1577,1.0
7,50,2563,1.0
19,200,1863,1.0
34,50,2162,2.0
40,50,2546,2.0
16,0,2435,1.5
88,100,2277,7.0
24,20,2341,0.5666666666666667
25,75,2226,2.0
21,100,2957,1.0
7,20,2339,1.0
30,50,2770,8.5
13,20,2803,1.0
98,60,2369,5.5
12,20,2617,1.0
12,20,1865,0.6666666666666666
7,20,2087,0.5833333333333334
25,200,1787,2.5
13,30,1844,0.5333333333333333
14,50,2126,2.0
15,35,2734,2.0
51,200,1702,1.5
26,45,1847,1.5
39,100,2258,2.0
27,195,2772,6.5
13,0,2616,1.0
79,25,2487,12.5
20,20,2299,1.0
65,200,1952,8.0
32,120,2052,2.5
33,50,1799,4.5
12,35,1907,1.0
54,20,2434,3.0
11,0,3134,1.0
88,200,2134,5.5
10,20,2128,0.5
35,0,1737,2.0
11,40,1816,0.65
9,20,2895,2.5
80,200,1666,8.0
62,20,1647,3.5
17,35,2773,2.0
7,50,3242,2.0
24,200,1962,2.5
128,50,2263,17.5
48,20,3722,3.0
11,185,1864,1.5
101,100,1624,10.0
73,95,1914,8.0
20,20,1949,0.6166666666666667
21,0,2088,3.0
48,200,1590,4.5
17,55,1730,1.5
23,50,2387,5.5
57,50,1782,1.5
39,85,2074,4.5
14,20,2626,1.0
59,195,2337,5.0
29,40,2116,3.5
17,0,2679,4.5
32,45,1814,1.5
5,90,3074,1.5
52,20,2918,2.0
30,85,1658,2.5
77,60,1701,5.0
10,20,2100,0.7333333333333333
15,20,1676,2.0
9,30,1583,1.0
48,40,2087,3.5
31,50,2666,4.5
118,20,2465,8.0
26,20,2200,1.0
9,0,3007,1.0
15,35,2078,3.5
19,95,2370,1.5
28,95,1662,1.0
26,20,2054,1.0
14,50,1949,1.0
14,20,1701,1.0
28,20,2206,1.5
36,25,1757,2.5
83,20,2036,9.0
84,35,2145,4.0
55,20,3369,3.5
59,75,2240,2.5
11,40,1982,1.5
536,200,1801,25.0
18,0,2574,1.5
41,50,1967,7.0
35,55,1750,2.0
24,150,1995,1.5
14,55,1660,1.0
22,0,1556,2.0
13,20,2551,2.0
15,0,1717,1.0
12,35,2327,1.5
6,20,2436,1.5
14,125,1813,1.5
10,50,1847,2.5
48,145,1862,5.5
74,50,2450,5.0
38,50,2144,3.0
15,200,2756,1.5
14,40,1982,2.0
23,50,2677,3.0
40,25,2260,8.0
87,0,2594,17.5
25,100,2966,1.0
24,0,2032,2.0
11,0,2411,1.0
47,20,1583,8.0
102,80,2158,2.0
168,40,1932,10.0
44,95,1658,4.5
66,100,2816,14.5
77,200,1817,7.5
187,180,2640,13.0
82,120,1995,6.5
6,20,2842,0.5333333333333333
14,95,1730,1.5
23,95,2421,2.5
8,45,1756,1.0
27,50,2244,1.5
123,50,2388,7.5
25,40,1719,1.5
16,65,2164,2.0
16,75,2149,1.5
18,50,1654,0.7333333333333333
46,20,2144,2.5
29,0,1939,2.0
54,20,2134,2.5
42,50,1983,6.0
20,35,1611,1.0
85,100,2388,6.0
14,20,1808,3.0
25,115,2156,1.0
25,50,2834,2.0
9,20,1667,0.5666666666666667
24,45,3048,2.0
50,150,2420,5.0
11,20,2232,1.0
95,145,2754,14.0
14,40,2458,0.5666666666666667
